strategy,cost_bps,evidence,observations,cumulative_return,cagr,sharpe_rf0,sortino_rf0,daily_max_drawdown,worst_day,missing_mark_events,unfilled_selections
BIST100,0,PROXY_UNVERIFIED,1345,6.827033470094833,0.4703641360491746,1.4901381410449392,1.8648503281188016,-0.318154271502051,-0.09790713378194338,,
UNIVERSE_EQUAL_WEIGHT,0,PROXY_UNVERIFIED,1345,17.105645038352588,0.7205400227258922,2.0217876108492256,2.4370843839506193,-0.3411104082218175,-0.0970095681472265,105.0,0.0
MOMENTUM_12_1_TOP10,0,PROXY_UNVERIFIED,1345,50.744627434357824,1.0946468613572122,2.2578180097737897,3.047047576397166,-0.39425093222289165,-0.09791097209463484,12.0,0.0
BIST100,30,PROXY_UNVERIFIED,1345,6.780141712575498,0.46870965341697124,1.4862207326390275,1.859697726197464,-0.3181542715020518,-0.09790713378194338,,
UNIVERSE_EQUAL_WEIGHT,30,PROXY_UNVERIFIED,1345,16.78577763378295,0.7148036303184087,2.0102315834008495,2.423090887444092,-0.3411104082218174,-0.0970095681472265,105.0,0.0
MOMENTUM_12_1_TOP10,30,PROXY_UNVERIFIED,1345,47.54291261128233,1.0697292560599516,2.2232870490497927,3.001742655885151,-0.39425093222289154,-0.09791097209463484,12.0,0.0
BIST100,50,PROXY_UNVERIFIED,1345,6.748958811230636,0.4676049349296587,1.4835750025936172,1.8561884086694984,-0.31815427150205156,-0.09790713378194338,,
UNIVERSE_EQUAL_WEIGHT,50,PROXY_UNVERIFIED,1345,16.575436592463404,0.7109855884415943,2.002466151341584,2.4149052814836938,-0.3411104082218174,-0.0970095681472265,105.0,0.0
MOMENTUM_12_1_TOP10,50,PROXY_UNVERIFIED,1345,45.514630060898774,1.0532440545927546,2.1999666846403243,2.9711315909825626,-0.3942509322228912,-0.09791097209463473,12.0,0.0
BIST100,100,PROXY_UNVERIFIED,1345,6.671275504039939,0.4648370504288091,1.4768423305152776,1.847158067660823,-0.31815427150205167,-0.09790713378194349,,
UNIVERSE_EQUAL_WEIGHT,100,PROXY_UNVERIFIED,1345,16.05957720559231,0.7014622057906257,1.9828418679600013,2.3912700896804973,-0.34111040822181715,-0.09700956814722639,105.0,0.0
MOMENTUM_12_1_TOP10,100,PROXY_UNVERIFIED,1345,40.79230900093178,1.012470761713442,2.1406804289424866,2.8924533923081825,-0.3942509322228914,-0.09791097209463484,12.0,0.0
